,Al,Si,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zr,Nb,Mo,Hf,Ta,W
AN,13,14,22,23,24,25,26,27,28,29,40,41,42,72,73,74
QN,3,3,4,4,4,4,4,4,4,4,5,5,5,6,6,6
C,13,14,4,5,6,7,8,9,10,11,4,5,6,4,5,6
RAM,26.9815,28.0855,47.867,50.9415,51.9961,54.938,55.8445,58.9332,58.6934,63.546,91.224,92.90364,95.94,178.49,180.948,183.84
VA,1.66,2.002,1.764,1.392,1.2,1.22,1.178,1.108,1.093,1.181,2.328,1.807,1.558,2.241,1.801,1.586
R,1.432,1.319,1.462,1.346,1.36,1.304,1.274,1.252,1.246,1.278,1.602,1.468,1.4,1.58,1.467,1.408
AEN,12,4,12,14,14,2,14,12,12,12,12,14,14,12,14,14
VEC,3,4,4,5,6,7,8,9,10,11,4,5,6,4,5,6
XMB,1.64,1.98,1.86,2.22,2,2.04,1.67,1.72,1.76,1.08,1.7,2.03,1.94,1.73,1.94,1.79
XP,1.61,1.9,1.54,1.63,1.66,1.55,1.83,1.88,1.91,1.9,1.33,1.6,2.16,1.3,1.5,2.36
XA,9.539,11.33,8.17,9.063,9.77,10.34,10.64,10.86,11.13,10.96,7.808,8.34,8.71,6.83,7.93,8.67
G,26,43.9,44,47,115,0,82,76,76,48,33,38,20,30,67,161
E,70,165,116,128,279,198,211,209,200,130,67,105,329,78,186,411
FIE,577.6,786.5,658,650.3,652.8,717.4,759.3,758.4,736.7,745.4,660,663.8,684.9,675.4,761.3,770
SIE,1817,1577,1310,1414,1592,1509,1561,1646,1753,1958,1267,1382,1558,1438,1563,1708
TIE,2745,3232,2653,2828,2987,3248,2957,3232,3393,3554,2218,2416,2621,2248,2123,2316
CPM,4.2,4.7,3.8,4.25,4.65,4.45,4.93,5.1,5.2,4.45,3.45,4.05,4.65,3.6,4.05,4.8
WF,4.3,4.8,4.3,4.3,4.5,4.1,4.5,5,5.1,4.6,4,4.3,4.6,3.9,4.1,4.5
NCE,3.5,4.15,3.15,3.3,3.35,3.6,3.75,3.9,4.05,4.2,3,3.3,3.45,3.15,3.3,4.35
CNE,4.07,4.29,4.82,4.98,5.13,5.23,5.43,5.58,5.71,5.84,6.45,6.7,6.98,9.16,9.53,9.85
MT,933,1683,1933,2163,2130,1518,1808,1768,1726,1356,2125,2741,2890,2495,3273,3683
TB,2740,2628,3560,3650,2945,2235,3023,3143,3005,2840,4650,5015,4885,5470,5698,5930
EV,290.8,383.3,425.5,459.7,341.8,220.5,340.2,382.4,374.8,306.7,566.7,680.19,589.9,570.7,758.22,824.2
EM,10.5,50.6,18.8,17.5,21,13.4,13.8,16.3,17.2,13,19.2,26.8,28,25,24.7,35
EA,326.4,455.6,469.9,514.2,396.6,280.7,416.3,424.7,429.7,338.3,608.8,725.9,658.1,619.2,782,849.4
CE,3.39,4.63,4.85,5.31,4.1,2.92,4.28,4.39,4.44,3.49,6.25,7.57,6.82,6.44,8.1,8.9
MC,0.722,0.988,1.051,1.619,1.901,0.596,1.683,1.914,1.86,1.37,0.833,1.702,2.725,1.09,2,3.232
DVE,2.01,1.91,1.81,1.61,1.33,1.26,1.16,1.14,2.9,2.55,1.96,1.75,1.46,1.88,1.7,1.5
DCE,1.25,1.18,0.91,0.86,0.84,0.79,0.73,0.71,1.13,1.12,0.98,0.95,0.9,0.97,0.95,0.92
D,2.7,2.33,4.507,6.11,7.19,7.47,7.874,8.9,8.908,8.96,6.511,8.57,10.28,13.31,16.65,19.25
